	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
97	Журавлёв Дмитрий Николаевич	М	Литературный деятель	1900-1991	1	1981	1958			
98	Заболоцкий Николай Алексеевич	М	Поэт	1903-1958	0	1962, 1975, 1976, 1983, 1984, 1990, 1992, 1994, 1998, 2000	1977			1976
99	Захаров Марк Анатольевич	М	Режиссер	1933-2019	1	1984, 1990, 1998, 2000	2008		1970, 2003	
100	Земфира Рамазанова	Ж	Певец	1976-н.в.	1	1999	2009			
101	Золотарев Александр Анатольевич	М	Историк	1947-2016	1	1984		1979		
102	Зураб Церетели	М	Скульптор	1934-н.в.	1	1994	2005			
103	Зыкина Людмила Георгиевна	Ж	Певец	1929-2009	1	1984, 1990	1997	1999		
104	Иисус Христос	М	Библейский персонаж	4 до н.э.-30 н.э.	0	2004	1973, 1996, 2004	1959		
105	Искренко Нина Юрьевна	Ж	Поэт	1951-1995	1	1990, 1998, 1999	1992, 1996			
106	Казаков Юрий Павлович	М	Писатель	1927-1982	1	1982, 1984, 1998				1963
107	Какабадзе Давид	М	Художник	1889-1952	0	1984		1979		
108	Калигула Гай Юлий Цезарь	М	Историческая личность	12-41	0	1992		1977		
109	Камю Альбер	М	Писатель	1913-1960	0	1971, 1990, 1992, 1994		1999		
110	Капица Сергей Петрович	М	Учёный	1928-2012	1	1998	1972, 1987	1986		
111	Караченцов Николай Петрович	М	Актер	1944-2018	1	1984, 1990, 1998	2006		2003	
112	Карякин Юрий Федорович	М	Литературный деятель	1930-2011	1	1984, 1992	1993			
113	Кастро Фидель Алехандро	М	Политический деятель	1926-2016	0	1990			1999	
114	Катаев Валентин Петрович	М	Писатель	1897-1986	1	1972, 1992, 1998				1965
115	Кедров Константин Александрович	М	Поэт	1942-н.в.	1	1990, 1992, 1994	2002			
116	Кеннеди Жаклин	Ж	Общественный деятель	1929-1994	1	1990, 1992	1994	1999		
117	Керенский Александр Фёдорович	М	Политический деятель	1881-1970	1	1984, 1990, 1992	2005			
118	Кирсанов Семен Исаакович	М	Поэт	1906-1972	1	1970	1973			
119	Коган Павел Давыдович	М	Поэт	1918-1942	1	1987	1975			
120	Козлов Алексей	М	Музыкант	Неизвестно	1	1997	1998			
121	Козырев Николай Александрович	М	Ученый	1908-1983	1	1998	1975			
122	Кокто Жан	М	Поэт	1889-1963	0	1984, 1990, 1998		1964, 1998		
123	Колумб Христофор	М	Мореплаватель	1451-1506	0	1973	1961, 1975			
124	Коненков Сергей Тимофеевич	М	Скульптор	1874-1971	0	1984, 1998	1977			
125	Коперник Николай	М	Ученый	1473-1543	0	1997	1965	1996		
126	Коровин Константин Алексеевич	М	Художник	1861-1939	0	1984	1981			
127	Космодемьянская Зоя Анатольевна	Ж	Партизанка, героиня	1923-1941	0	1987	2005	1957		
128	Косолапов Валерий Алексеевич	М	Редактор	1941-н.в.	1	1984	1960			
129	Крамской Иван Николаевич	М	Художник	1837-1887	0	1984, 1998	1998			
130	Кузмин Михаил Алексеевич	М	Поэт	1872-1936	0	1984, 1994, 1998, 1999	1976			
131	Куйбышев Валериан Владимирович	М	Политический деятель	1888-1935	0	1997		1963		
132	Кушнер Александр Семёнович	М	Поэт	1936-н.в.	0	1984, 1987, 1998, 1999, 2000	1972			
133	Лавров Иван	М	Музыкант	Неизвестно	0	1984		1979		
134	Ландау Лев Давидович	М	Учёный	1908-1968	0	1973	1965			
