	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
190	Плисецкая Майя Михайловна	Ж	Балет	1925-2015	1	1966, 1970, 1984, 1990, 1992, 1994, 1998, 2006	1974, 2002	2005	2003	
191	Полисадов Андрей	М	Религиозный деятель	Неизвестно	0	1984		1979		
192	Поллак Джексон	М	Художник	1912-1956	0	1990	2000			
193	Постник	М	Архитектор	Неизвестно	0	1973		1979		
194	Пруст Марсель	М	Писатель	1871-1922	0	1972, 1994	1992, 2004			
195	Пугачёва Алла Борисовна	Ж	Певец	1949-н.в.	1	1994, 1998	1978			
196	Пушкин Александр Сергеевич	М	Поэт	1799-1837	0	1961, 1962, 1966, 1970, 1973, 1976, 1984, 1990, 1992, 1994, 1997, 1998, 1999, 2000, 2001, 2003	1958, 1966, 1973, 1975, 1976, 1977, 1979, 1980, 1982, 1985, 1987, 1992, 1994, 1997, 1999, 2000, 2005	1964, 1979, 1982, 1996, 1999		
197	Разин Степан Тимофеевич	М	Историческая личность	1630-1671	0	1990	1975			
198	Раушенберг Роберт	М	Художник	1925-2008	1	1990	1977			
199	Рафаэль Санти	М	Художник	1483-1520	0	1984, 1994	1958, 1983			
200	Рахманинов Сергей Васильевич	М	Композитор	1873-1943	1	1973, 1983	1972, 1988			
201	Рембо Артюр	М	Поэт	1854-1891	0	1992, 1994, 1999	1972, 1984, 1997, 1999			
202	Ренуар Пьер Огюст	М	Художник	1841-1919	0	1981	1958, 1972		2003	
203	Репин Илья Ефимович	М	Художник	1844-1930	0	1984, 1998		1964		
204	Рерих Николай Константинович	М	Художник	1874-1947	0	1975, 1984, 1992, 1998	1989			
205	Рихтер Святослав Теофилович	М	Музыкант	1915-1997	1	1966, 1970, 1981, 1984, 1990, 1997, 1998, 2000	1975, 1983, 1989, 1997			
206	Росс Бетси	М	Историческая личность	1752-1836	0	1992	1990			
207	Ростропович Мстислав Леопольдович	М	Музыкант	1927-2007	1	1990, 1994, 1998	1994			
208	Рубинштейн Лев Семёнович	М	Поэт	1947-н.в.	1	1990	1992			
209	Рублев Андрей	М	Художник	1360-1430	0	1967, 1984	1977			
210	Рыбников Алексей Львович	М	Композитор	1945-н.в.	1	1984, 1990, 1998	2008		1970, 2003	
211	Рыков Алексей Иванович	М	Политический деятель	1881-1938	0	1990		1996		
212	Сапгир Генрих Вениаминович	М	Поэт	1928-1999	1	1968, 1990, 1994, 1998, 2000, 2006	1993			
213	Сартр Жан-Поль	М	Философ	1905-1980	1	1975, 1984, 1990, 1992, 1994	1962			1963
214	Сахаров Андрей Дмитриевич	М	Учёный	1921-1989	1	1990, 1998, 2000	1994			
215	Северянин Игорь Васильевич	М	Поэт	1887-1941	0	1971, 1973, 1983, 1984, 1992, 1998, 2003	1977, 1981	1986		
216	Сервантес Мигель де	М	Писатель	1547-1616	0	1994	1965, 1993	1999		
217	Серов Валентин Александрович	М	Художник	1865-1911	0	1976, 1984, 1990, 1998		1999		
218	Симонов Константин Михайлович	М	Поэт, писатель	1915-1979	1	1981, 1984, 1992, 1998, 1999		1964, 1998		
219	Слуцкий Борис Абрамович	М	Поэт	1919-1986	1	1976, 1983, 1984, 1990, 1992, 1999	1976			
220	Смит Уильям Джей	М	Поэт	1918-2015	1	1971, 1983, 1992	1978			
221	Сократ	М	Философ	470 до н.э.-399 до н.э.	0	1998			2000	
222	Солоухин Владимир Алексеевич	М	Писатель	1924-1997	1	1984, 1987, 1990, 1998	1972, 1975			
223	Сорос Джордж	М	Бизнес	1930-н.в.	0	1998		2007		
224	Сталин Иосиф Виссарионович	М	Историческая личность	1878-1953	0	1968, 1981, 1984, 1990, 1992, 1994, 1997, 1998, 1999, 2000, 2006	1958, 1972, 1987, 1991, 2004, 2008		2003	
225	Старовойтова Галина Васильевна	Ж	Политический деятель	1946-1998	1	1994, 1999		1999		
226	Стравинский Игорь Фёдорович	М	Композитор	1882-1971	0	1966, 1970, 1973, 1984	1967, 1974, 1989			
