ID	ЖАНР	СБОРНИК	НАЗВАНИЕ	ГОД	ПОЛ	ИМЯ	КАТЕГОРИЯ	ТИП	СЛОВ	ЛЕКС
1	СТИХ	МОЗАИКА - ПАРАБОЛА	Гойя	1957	М	Гойя Франсиско	Художник	14	69	0,81
2	СТИХ	МОЗАИКА - ПАРАБОЛА	Пожар в Архитектурном институте	1957	Ж	Красильникова Карина	Архитектор	4	123	0,85
3	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Бетховен Людвиг ван	Композитор	4	94	0,88
4	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Журавлёв Дмитрий Николаевич	Литературный деятель	4	94	0,88
5	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Ленин Владимир Ильич	Революционер	4	94	0,88
6	СТИХ	МОЗАИКА - ПАРАБОЛА	Туманная улица	1958	Ж	Венера	Мифологический персонаж	4	97	0,84
7	СТИХ	МОЗАИКА - ПАРАБОЛА	Параболическая баллада	1958	М	Гоген Поль	Художник	4	202	0,81
8	СТИХ	МОЗАИКА - ПАРАБОЛА	Бьют женщину	1960	М	Гарольд Чайлд	Литературный персонаж	4	153	0,74
9	СТИХ	МОЗАИКА - ПАРАБОЛА	Потерянная баллада	1962	М	Гойя Франсиско	Художник	4	237	0,74
10	СТИХ	МОЗАИКА - ПАРАБОЛА	"""К нам забредал Булат..."""	1960	М	Окуджава Булат Шалвович	Музыкант, поэт	4	88	0,85
11	СТИХ	МОЗАИКА - ПАРАБОЛА	Елена Сергеевна	1958	Ж	Елена Сергеевна	Педагог	14	155	0,82
12	СТИХ	МОЗАИКА - ПАРАБОЛА	Последняя электричка	1958	Ж	Беатриче	Литературный персонаж	4	107	0,84
13	СТИХ	МОЗАИКА - ПАРАБОЛА	Песня Офелии	1957	Ж	Офелия	Литературный персонаж	14	81	0,83
14	СТИХ	МОЗАИКА - ПАРАБОЛА	Песня Офелии	1957	М	Гамлет	Литературный персонаж	4	81	0,83
15	СТИХ	МОЗАИКА - ПАРАБОЛА	Сибирские бани	1958	М	Ренуар Пьер Огюст	Художник	4	101	0,82
16	СТИХ	МОЗАИКА - ПАРАБОЛА	Осень	1959	М	Щипачёв Степан Петрович	Поэт	2	160	0,78
17	СТИХ	МОЗАИКА - ПАРАБОЛА	Тайгой	1958	Ж	Дюймовочка	Литературный персонаж	4	102	0,73
18	СТИХ	МОЗАИКА - ПАРАБОЛА	Тбилисские базары	1958	М	Рафаэль Санти	Художник	4	78	0,85
19	СТИХ	МОЗАИКА - ПАРАБОЛА	Тбилисские базары	1958	М	Рубенс Питер Пауль	Художник	4	78	0,85
20	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада точки 	1958	М	Пушкин Александр Сергеевич	Поэт	4	88	0,79
21	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Евтушенко Евгений Александрович	Поэт	2	201	0,74
22	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Петр I Алексеевич	Историческая личность	4	201	0,74
23	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Рубенс Питер Пауль	Художник	4	201	0,74
24	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Вирсавия	Библейский персонаж	4	201	0,74
25	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Савская царица	Библейский персонаж	4	201	0,74
26	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Саския (жена Рубенса)	Муза	4	201	0,74
27	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Ах, сыграй мне, Булат, полечку..."""	1961	М	Окуджава Булат Шалвович	Музыкант, поэт	4	89	0,86
28	СТИХ	МОЗАИКА - ПАРАБОЛА	"Сирень ""Москва — Варшава»"	1961	М	Гамзатов Расул Гамидович	Поэт, писатель	2	158	0,72
29	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Конфедераток тузы бесшабашные..."""	1961	Ж	Богоматерь	Библейский персонаж	4	66	0,86
30	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Конфедераток тузы бесшабашные..."""	1961	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	66	0,86
31	СТИХ	МОЗАИКА - ПАРАБОЛА	Стога	1961	Ж	Мадонна	Библейский персонаж	4	95	0,91
32	СТИХ	МОЗАИКА - ПАРАБОЛА	"Эпитафия (""Брат, не загадывай на завтра!.."")"	1980	М	Барт Ролан	Литературный деятель	4	14	0,87
33	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	Ж	Андросова Наталья Николаевна	Гонщик	2	140	0,79
34	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Икар	Мифологический персонаж	4	140	0,79
35	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Чингисхан	Военный деятель	4	140	0,79
36	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Сингичанц	Общественный деятель	4	140	0,79
37	СТИХ	МОЗАИКА - ПАРАБОЛА	Длинного	1963	М	Таривердиев Микаэл Леонович	Композитор	2	159	0,78
38	СТИХ	МОЗАИКА - ПАРАБОЛА	Латышский эскиз	1963	Ж	Рута	Лирический персонаж	4	104	0,86
39	СТИХ	МОЗАИКА - ПАРАБОЛА	Осень в Сигулде	1961	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	269	0,67
40	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Колумб Христофор	Мореплаватель	4	96	0,86
41	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Рошаль Григорий Львович	Врач	4	97	0,86
42	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Емелька	Фольклорный персонаж	4	98	0,86
43	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Дарвин Чарльз	Учёный	4	99	0,86
44	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Рок-н-ролл	1961	М	Тарковский Андрей Арсеньевич	Режиссер	2	256	0,77
45	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Рок-н-ролл	1961	Ж	Мадонна	Библейский персонаж	4	256	0,77
46	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Монолог Мерлин Монро	1963	Ж	Монро Мерилин	Актер	14	286	0,76
47	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	"""Друг, не пой мне песню про Сталина..."""	1958	М	Сталин Иосиф Виссарионович	Историческая личность	4	72	0,85
48	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Флорентийские факелы	1962	Ж	Богуславская Зоя Борисовна	Писатель	2	195	0,75
49	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	"""Нас много. Нас может быть четверо..."""	1963	Ж	Ахмадулина Белла Ахатовна	Поэт	4	169	0,82
50	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Итальянский гараж	1962	Ж	Ахмадулина Белла Ахатовна	Поэт	2	90	0,84
51	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Итальянский гараж	1962	М	Джотто	Художник	4	90	0,84
52	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Итальянский гараж	1962	М	Паоло	Литературный персонаж	4	90	0,84
53	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Итальянский гараж	1962	Ж	Джульетта	Литературный персонаж	4	90	0,84
54	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Прощание с Политехническим	1962	М	Маяковский Владимир Владимирович	Поэт	4	238	0,78
55	СТИХ	АНТИМИРЫ	Лень	1965	М	Диоген	Философ	4	102	0,77
56	СТИХ+ПРОЗА	АНТИМИРЫ	Баллада-яблоня	1965	М	Катаев Валентин Петрович	Писатель	2	265	0,79
57	СТИХ+ПРОЗА	АНТИМИРЫ	Баллада-яблоня	1965	М	Людовик XIV	Историческая личность	4	265	0,79
58	СТИХ+ПРОЗА	АНТИМИРЫ	Баллада-яблоня	1965	М	Володя	Авиация и космонавтика	4	265	0,79
59	СТИХ+ПРОЗА	АНТИМИРЫ	Охота на зайца	1963	М	Казаков Юрий Павлович	Писатель	2	322	0,74
60	СТИХ+ПРОЗА	АНТИМИРЫ	Охота на зайца	1963	М	Букашкин	Лирический персонаж	4	322	0,74
61	СТИХ+ПРОЗА	АНТИМИРЫ	Охота на зайца	1963	М	Грек Феофан	Художник	4	322	0,74
62	СТИХ	АНТИМИРЫ	Записка Е. Яницкой, бывшей машинистке Маяковского	1963	Ж	Яницкая Е.	Машинистка	14	47	0,89
63	СТИХ	АНТИМИРЫ	Записка Е. Яницкой, бывшей машинистке Маяковского	1963	М	Маяковский Владимир Владимирович	Поэт	4	47	0,89
64	СТИХ	АНТИМИРЫ	Записка Е. Яницкой, бывшей машинистке Маяковского	1963	М	Лермонтов Михаил Юрьевич	Поэт	4	47	0,89
65	СТИХ	АНТИМИРЫ	Записка Е. Яницкой, бывшей машинистке Маяковского	1963	М	Лорка Федерико Гарсиа	Поэт	4	47	0,89
66	СТИХ+ПРОЗА	АНТИМИРЫ	Париж без рифм	1963	Ж	Андреева-Карлайл Ольга	Литературный деятель	4	473	0,73
67	СТИХ+ПРОЗА	АНТИМИРЫ	Париж без рифм	1963	М	Сартр Жан-Поль	Философ	4	473	0,73
68	СТИХ	АНТИМИРЫ	"""Я - семья..."""	1962	М	Сартр Жан-Поль	Философ	2	28	0,73
69	СТИХ	АНТИМИРЫ	Марше О Пюс. Парижская толкучка древностей	1963	М	Пикассо Пабло	Художник	4	232	0,71
70	СТИХ	АНТИМИРЫ	Олененок	1963	Ж	Андреева-Карлайл Ольга	Литературный деятель	14	197	0,76
71	СТИХ	АНТИМИРЫ	Ирена	1963	М	Брем Альфред (?)	Ученый	4	152	0,78
72	СТИХ	АНТИМИРЫ	Старухи казино	1963	Ж	Джульетта	Литературный персонаж	4	104	0,83
73	СТИХ	АНТИМИРЫ	Поэт в Париже	1963	Ж	Брик Лиля Юрьевна	Муза	4	151	0,81
74	СТИХ	АНТИМИРЫ	Поэт в Париже	1963	М	Маяковский Владимир Владимирович	Поэт	4	151	0,81
75	СТИХ	АНТИМИРЫ	Возвращение в Сигулду	1963	М	Рюрик	Историческая личность	4	248	0,74
76	СТИХ	АНТИМИРЫ	"""Жизнь моя кочевая..."""	1963	М	Межелайтис Эдуардас	Поэт	4	130	0,85
77	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Гамзатов Расул Гамидович	Поэт, писатель	4	304	0,66
78	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Коперник Николай	Ученый	4	304	0,66
79	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Ландау Лев Давидович	Учёный	4	304	0,66
80	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Ливанов Борис Николаевич	Актер	4	304	0,66
81	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Пастернак Борис Леонидович	Поэт, писатель	4	304	0,66
82	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Сервантес Мигель де	Писатель	4	304	0,66
83	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Гамлет	Литературный персонаж	4	304	0,66
84	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Плач по двум нерожденным поэмам	1965	М	Данте Алигьери	Поэт	4	304	0,66
85	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Из закарпатского дневника	1965	М	Нравоучатов	Лирический персонаж	4	44	0,93
86	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Из закарпатского дневника	1965	М	Шевченко Тарас Григорьевич	Поэт	4	44	0,93
87	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Сквозь строй	1965	М	Шевченко Тарас Григорьевич	Поэт	4	184	0,71
88	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	212	0,81
89	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Загорян	Лирический персонаж	14	212	0,81
90	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Лермонтов Михаил Юрьевич	Поэт	4	212	0,81
91	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Маркс Карл	Философ	4	212	0,81
92	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Пестель Павел Иванович	Военный деятель	4	212	0,81
93	СТИХ+ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Лейтенант Загорин	1965	М	Тухачевский Михаил Николаевич	Военный деятель	4	212	0,81
94	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Эскиз поэмы	1965	М	Букашкин	Лирический персонаж	4	734	0,71
95	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Эскиз поэмы	1965	М	Нравоучатов	Лирический персонаж	4	734	0,71
96	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Эскиз поэмы	1965	М	Мур Генри	Скульптор	4	734	0,71
97	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	"""Прости меня, что говорю при всех..."""	1965	Ж	Синьоре Симона	Актер	4	202	0,77
98	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	"""Умирайте вовремя..."""	1964	М	Есенин Сергей Александрович	Поэт	4	27	0,95
99	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Из ташкентского репортажа	1966	Ж	Ахматова Анна Андреевна	Поэт	4	265	0,78
100	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Из ташкентского репортажа	1966	М	Пушкин Александр Сергеевич	Поэт	4	265	0,78
101	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Слеги	1973	М	Фет Афанасий Афанасьевич	Поэт	4	50	0,86
102	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Декабрьские пастбища	1969	М	Сарьян Мартирос	Художник	2	158	0,83
103	СТИХ	АХИЛЛЕСОВО СЕРДЦЕ	Декабрьские пастбища	1969	М	Сидоров Ирод	Лирический персонаж	4	158	0,83
104	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	Ж	Плисецкая Майя Михайловна	Балет	14	1155	0,70
105	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	Ж	Брик Лиля Юрьевна	Муза	4	1155	0,70
106	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Карден Пьер	Модельер	4	1155	0,70
107	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Картье Луи	Ювелир  	4	1155	0,70
108	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Колмогоров Андрей Николаевич	Ученый	4	1155	0,70
109	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Маяковский Владимир Владимирович	Поэт	4	1155	0,70
110	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Мур Генри	Скульптор	4	1155	0,70
111	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Пастернак Борис Леонидович	Поэт, писатель	4	1155	0,70
112	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Рихтер Святослав Теофилович	Музыкант	4	1155	0,70
113	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Скрябин Александр Николаевич	Композитор	4	1155	0,70
114	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Стравинский Игорь Фёдорович	Композитор	4	1155	0,70
115	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Тулуз-Лотрек Анри	Художник	4	1155	0,70
116	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	Ж	Цветаева Марина Ивановна	Поэт	4	1155	0,70
117	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	М	Пушкин Александр Сергеевич	Поэт	4	1155	0,70
118	ПРОЗА	АХИЛЛЕСОВО СЕРДЦЕ	Портрет Плисецкой	1966	Ж	Джульетта	Литературный персонаж	4	1155	0,70
119	СТИХ	ТЕНЬ ЗВУКА	"Строки (""Пес твой, Эпоха, я вою у сонного ЦУМа…"")"	1967	М	Кучум	Политический деятель	4	107	0,81
120	СТИХ	ТЕНЬ ЗВУКА	"Строки (""Пес твой, Эпоха, я вою у сонного ЦУМа…"")"	1967	М	Микеланджело Буонарроти	Художник, скульптор	4	107	0,81
121	СТИХ	ТЕНЬ ЗВУКА	"Строки (""Пес твой, Эпоха, я вою у сонного ЦУМа…"")"	1967	М	Стравинский Игорь Фёдорович	Композитор	4	107	0,81
122	СТИХ	ТЕНЬ ЗВУКА	"Строки (""Пес твой, Эпоха, я вою у сонного ЦУМа…"")"	1967	М	Шекспир Уильям	Драматург	4	107	0,81
123	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Осеннее вступление	1967	М	Батый	Историческая личность	4	380	0,72
124	СТИХ	ТЕНЬ ЗВУКА	Морская песенка	1967	М	Букашкин	Лирический персонаж	4	107	0,87
125	СТИХ	ТЕНЬ ЗВУКА	"""В воротничке я - как рассыльный..."""	1967	М	Щедрин Родион Константинович	Композитор	2	91	0,80
126	СТИХ	ТЕНЬ ЗВУКА	Испытание болотохода	1967	М	Черных	Водитель	4	281	0,69
127	СТИХ	ТЕНЬ ЗВУКА	Испытание болотохода	1967	М	Шопен Фредерик Франсуа	Композитор	4	281	0,69
128	СТИХ	ТЕНЬ ЗВУКА	Бой петухов	1968	М	Икар	Мифологический персонаж	4	108	0,88
129	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Морозный ипподром	1967	М	Аксёнов Василий Павлович	Писатель	2	365	0,74
130	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Морозный ипподром	1967	М	Мильтон (Джон)	Поэт	4	365	0,74
131	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Морозный ипподром	1967	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	365	0,74
132	СТИХ	ТЕНЬ ЗВУКА	Старая песня	1968	М	Джагаров Георгий	Поэт	2	93	0,86
133	СТИХ	ТЕНЬ ЗВУКА	Бар «Рыбарска хина»	1967	М	Божилов Божидар	Поэт	2	106	0,83
134	СТИХ	ТЕНЬ ЗВУКА	Бар «Рыбарска хина»	1967	М	Модильяни Амедео	Художник	4	107	0,83
135	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Языки	1967	Ж	Ева	Библейский персонаж	4	289	0,79
136	СТИХ	ТЕНЬ ЗВУКА	Горный монастырь	1970	М	Борис (Борис и Глеб)	Святой	4	46	0,81
137	СТИХ	ТЕНЬ ЗВУКА	Горный монастырь	1970	М	Глеб (Борис и Глеб)	Историческая личность	4	46	0,81
138	СТИХ	ТЕНЬ ЗВУКА	Горный монастырь	1970	Ж	Богоматерь	Библейский персонаж	4	46	0,81
139	СТИХ	ТЕНЬ ЗВУКА	Кабанья охота	1970	М	Катулл Гай Валерий	Поэт	4	479	0,75
140	СТИХ	ТЕНЬ ЗВУКА	Кабанья охота	1970	М	Расин Жан	Драматург	4	479	0,75
141	СТИХ	ТЕНЬ ЗВУКА	Кабанья охота	1970	М	Фет Афанасий Афанасьевич	Поэт	4	479	0,75
142	СТИХ	ТЕНЬ ЗВУКА	Кабанья охота	1970	М	Харон	Мифологический персонаж	4	479	0,75
143	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Время на ремонте	1967	М	Да Винчи Леонардо	Художник	4	317	0,71
144	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Время на ремонте	1967	М	Лермонтов Михаил Юрьевич	Поэт	4	317	0,71
145	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Время на ремонте	1967	Ж	тетя Мотя	Фольклорный персонаж	4	317	0,71
146	СТИХ	ТЕНЬ ЗВУКА	Художник Филонов	1967	М	Филонов Павел Николаевич	Художник	14	140	0,79
147	СТИХ	ТЕНЬ ЗВУКА	"""Жил художник в нужде и гордыне..."""	1964	М	Шкловский Виктор Борисович	Писатель	2	76	0,78
148	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Неизвестный - реквием в двух шагах с эпилогом	1964	М	Неизвестный Эрнст Иосифович	Скульптор	14	342	0,65
149	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Неизвестный - реквием в двух шагах с эпилогом	1964	М	Хрущёв Никита Сергеевич	Политический деятель	4	342	0,65
150	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	"Грипп «Гонконг-69"""	1969	Ж	Брик Лиля Юрьевна	Муза	4	213	0,70
151	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	"Грипп «Гонконг-69"""	1969	Ж	Горгона	Мифологический персонаж	4	213	0,70
152	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	"Грипп «Гонконг-69"""	1969	М	Христос Иисус	Библейский персонаж	4	213	0,70
153	СТИХ	ТЕНЬ ЗВУКА	"""Живу в сторожке одинокой..."""	1969	Ж	Богуславская Зоя Борисовна	Писатель	4	47	0,89
154	СТИХ	ТЕНЬ ЗВУКА	2 секунды 20 июня 1970 г. в замедленном дубле	1970	М	Сулейменов Олжас Омарович	Поэт	4	339	0,73
155	СТИХ	ТЕНЬ ЗВУКА	"""Сложи атлас, школярка шалая..."""	1971	М	Магеллан Фернан	Мореплаватель  	4	134	0,87
156	СТИХ	ТЕНЬ ЗВУКА	"""Сложи атлас, школярка шалая..."""	1971	М	Иван III Васильевич	Историческая личность	4	134	0,87
157	СТИХ+ПРОЗА	ТЕНЬ ЗВУКА	Нью-Йоркские значки	1968	М	Гинсберг Аллен	Поэт	4	201	0,76
158	СТИХ	ТЕНЬ ЗВУКА	Июнь-68	1968	М	Есенин Сергей Александрович	Поэт	4	90	0,78
159	СТИХ	ТЕНЬ ЗВУКА	Июнь-68	1968	М	Кеннеди	Политический деятель	4	90	0,78
160	СТИХ	ТЕНЬ ЗВУКА	Ялтинская криминалистическая лаборатория	1968	Ж	Цветаева Марина Ивановна	Поэт	4	145	0,87
161	СТИХ	ТЕНЬ ЗВУКА	Ялтинская криминалистическая лаборатория	1968	М	Марков Сашка	Криминалист	4	145	0,87
162	СТИХ	ТЕНЬ ЗВУКА	Ялтинская криминалистическая лаборатория	1968	М	Маяковский Владимир Владимирович	Поэт	4	145	0,87
163	СТИХ	ТЕНЬ ЗВУКА	Ялтинская криминалистическая лаборатория	1968	М	Пастернак Борис Леонидович	Поэт, писатель	4	145	0,87
164	СТИХ	ТЕНЬ ЗВУКА	Ялтинская криминалистическая лаборатория	1968	М	Вергилий	Поэт	4	145	0,87
165	СТИХ	ТЕНЬ ЗВУКА	Скрымтымным	1970	М	Лермонтов Михаил Юрьевич	Поэт	4	108	0,81
166	СТИХ	ТЕНЬ ЗВУКА	Скрымтымным	1970	Ж	Цветаева Марина Ивановна	Поэт	4	108	0,81
167	СТИХ	ТЕНЬ ЗВУКА	Скупщик краденого	1970	М	Наполеон Бонапарт	Историческая личность	4	398	0,80
168	СТИХ	ТЕНЬ ЗВУКА	Скупщик краденого	1970	Ж	Тэйлор Элизабет	Актер	4	398	0,80
169	СТИХ	ТЕНЬ ЗВУКА	Скупщик краденого	1970	М	Уголков	Лирический персонаж	4	398	0,80
170	СТИХ	ТЕНЬ ЗВУКА	Скупщик краденого	1970	М	Фишер Роберт Джеймс	Шахматист	4	398	0,80
171	СТИХ	ТЕНЬ ЗВУКА	Скупщик краденого	1970	М	Блок Александр Александрович	Поэт	4	398	0,80
172	СТИХ	ВЫПУСТИ ПТИЦУ!	Сначала	1973	М	Пушкин Александр Сергеевич	Поэт	4	130	0,81
173	СТИХ	ВЫПУСТИ ПТИЦУ!	Васильки Шагала	1973	М	Шагал Марк Захарович	Художник	14	237	0,73
174	СТИХ	ВЫПУСТИ ПТИЦУ!	Васильки Шагала	1973	М	Борис (Борис и Глеб)	Историческая личность	4	237	0,73
175	СТИХ	ВЫПУСТИ ПТИЦУ!	Васильки Шагала	1973	М	Глеб (Борис и Глеб)	Историческая личность	4	237	0,73
176	СТИХ	ВЫПУСТИ ПТИЦУ!	Васильки Шагала	1973	М	Иисус Христос	Библейский персонаж	4	237	0,73
177	СТИХ	ВЫПУСТИ ПТИЦУ!	Бобровый плач	1972	Ж	"Ярославна Ефросинья
"	Историческая личность	4	193	0,76
178	СТИХ	ВЫПУСТИ ПТИЦУ!	Выпусти птицу!	1972	М	Киселев Андрей Петрович	Педагог	4	193	0,80
179	СТИХ	ВЫПУСТИ ПТИЦУ!	НТР	1973	М	Харламов Валерий Борисович	Спортсмен	4	154	0,81
180	СТИХ	ВЫПУСТИ ПТИЦУ!	НТР	1973	М	Петров Владимир Владимирович	Спортсмен	4	154	0,81
181	СТИХ	ВЫПУСТИ ПТИЦУ!	НТР	1973	Ж	Сударкина	Лирический персонаж	4	154	0,81
182	СТИХ	ВЫПУСТИ ПТИЦУ!	НТР	1973	Ж	Терпсихора	Мифологический персонаж	4	154	0,81
183	СТИХ	ВЫПУСТИ ПТИЦУ!	Похороны Гоголя Николая Васильича	1974	М	Гоголь Николай Васильевич	Писатель	14	350	0,75
184	СТИХ	ВЫПУСТИ ПТИЦУ!	"""В человеческом организме..."""	1972	М	Паганини Никколо	Музыкант	4	44	0,71
185	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Георгий Победоносец	Историческая личность	4	451	0,71
186	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	451	0,71
187	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Ван Гог Винсент	Художник	4	451	0,71
188	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Людовик XIV	Историческая личность	4	451	0,71
189	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Маркес Габриэль Гарсия	Писатель	2	451	0,71
190	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Рокфеллер Джон Дэвисон	Бизнес	4	451	0,71
191	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	М	Тристан	Литературный персонаж	4	451	0,71
192	СТИХ	ВЫПУСТИ ПТИЦУ!	"Художники обедают в парижском ресторане «Кус-кус"""	1973	Ж	Изольда	Литературный персонаж	4	451	0,71
